date,Open,High,Low,Close,Volume,avg-block-size,n-transactions-per-block,n-payments-per-block,transactions-per-second,blocks-size,hash-rate,difficulty,monthly-btc-trend,daily-btc-trend
2018-03-25,8612.8095703125,8682.009765625,8449.099609375,8495.7802734375,4569880064.0,0.568772859259259,1002.02962962963,1921.0740740740741,1.5604166666666741,162993.323652,23236728.6424672,3462542391191.0,34,57
2018-03-26,8498.4697265625,8530.080078125,7921.43017578125,8209.400390625,5921039872.0,0.71241346,1252.33333333333,2280.24,1.982465277777785,163070.650784,25818587.3805191,3462542391191.0,34,82
2018-03-27,8200.0,8232.7802734375,7797.27978515625,7833.0400390625,5378250240.0,0.763199125,1230.69078947368,2254.3815789473683,2.143055555555563,163176.843076,26162835.2122593,3462542391191.0,34,73
2018-03-28,7836.830078125,8122.89013671875,7809.169921875,7954.47998046875,4935289856.0,0.724552822222222,1314.97037037037,2386.177777777778,2.080729166666675,163293.062293,23236728.6424672,3462542391191.0,34,67
2018-03-29,7979.06982421875,7994.330078125,7081.3798828125,7165.7001953125,6361229824.0,0.679723552631579,1265.86184210526,2346.532894736842,2.10833333333334,163391.315075,26162835.2122593,3462542391191.0,34,82
2018-03-30,7171.4501953125,7276.66015625,6683.93017578125,6890.52001953125,6289509888.0,0.62542812345679,1147.77777777778,2383.7098765432097,2.1572916666666733,163494.417659,27884074.3709606,3462542391191.0,34,94
2018-03-31,6892.47998046875,7207.85009765625,6863.52001953125,6973.52978515625,4553269760.0,0.6763264765625,1161.0703125,2112.328125,1.782986111111119,163595.811314,22031861.2313763,3462542391191.0,34,65
2018-04-01,7003.06005859375,7060.9501953125,6526.8701171875,6844.22998046875,4532100096.0,0.453174049382716,834.12962962963,1629.5123456790122,1.5543402777777837,163682.332635,28274794.2168317,3494288842678.95,26,92
2018-04-02,6844.85986328125,7135.47021484375,6816.580078125,7083.7998046875,4333440000.0,0.566611865384615,1078.0641025641,2019.5192307692307,1.7364583333333388,163755.572307,27227579.6162083,3511060552899.0,26,96
2018-04-03,7102.259765625,7530.93994140625,7072.490234375,7456.10986328125,5499700224.0,0.675785785276073,1220.36196319018,2212.79754601227,2.1314236111111162,163843.946204,28449329.9836022,3511060552899.0,26,90
2018-04-04,7456.41015625,7469.8798828125,6803.8798828125,6853.83984375,4936000000.0,0.723346340136055,1263.33333333333,2445.21768707483,2.1430555555555624,163953.611398,25656757.7152732,3511060552899.0,26,90
2018-04-05,6848.64990234375,6933.81982421875,6644.7998046875,6811.47021484375,5639320064.0,0.646244717948718,1165.58974358974,2085.24358974359,2.070486111111117,164060.058869,27227579.6162083,3511060552899.0,26,94
2018-04-06,6815.9599609375,6857.490234375,6575.0,6636.31982421875,3766810112.0,0.824647615942029,1252.81884057971,2919.0289855072465,2.019791666666675,164160.846209,24085935.8143381,3511060552899.0,26,100
2018-04-07,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,3976610048.0,0.538825088888889,859.105555555556,1520.088888888889,1.8715277777777855,164275.335946,31416438.0187018,3511060552899.0,26,75
2018-04-08,6919.97998046875,7111.56005859375,6919.97998046875,7023.52001953125,3652499968.0,0.431451763975155,860.465838509317,1639.1739130434783,1.6175347222222296,164372.084512,28100258.4500611,3511060552899.0,26,74
2018-04-09,7044.31982421875,7178.10986328125,6661.990234375,6770.72998046875,4894060032.0,0.738487775510204,1201.10884353741,2159.387755102041,1.7717013888888953,164441.587369,25656757.7152732,3511060552899.0,26,90
2018-04-10,6795.43994140625,6872.41015625,6704.14990234375,6834.759765625,4272750080.0,0.683104451219512,1136.67682926829,2135.6158536585367,2.021354166666673,164550.35131,28623865.7503728,3511060552899.0,26,82
2018-04-11,6843.47021484375,6968.31982421875,6817.58984375,6968.31982421875,4641889792.0,0.63829051552795,1138.18633540373,2005.1304347826087,2.0859375000000075,164662.270224,28100258.4500611,3511060552899.0,26,74
2018-04-12,6955.3798828125,7899.22998046875,6806.509765625,7889.25,8906250240.0,0.825766454545454,1369.34415584416,2419.090909090909,2.1392361111111176,164764.541883,26878508.0826671,3511060552899.0,26,94
2018-04-13,7901.08984375,8183.9599609375,7758.93017578125,7895.9599609375,7764460032.0,0.722759496969697,1316.86060606061,2577.6848484848483,2.445312500000007,164892.480186,28798401.5171434,3511060552899.0,26,97
2018-04-14,7874.669921875,8140.7099609375,7846.0,7986.240234375,5191430144.0,0.798910270072993,1181.33576642336,2175.875912408759,1.9192708333333404,165011.141441,26146926.5194725,3796188328004.62,26,74
2018-04-15,7999.330078125,8338.419921875,7999.330078125,8329.1103515625,5244480000.0,0.847521674846626,1067.67484662577,2035.435582822086,1.8932291666666734,165121.182964,31109116.953825,3839316899029.0,26,72
2018-04-16,8337.5703125,8371.150390625,7925.72998046875,8058.669921875,5631309824.0,0.967547255319149,1390.82269503546,2508.900709219858,2.1795138888888976,165259.265051,26910340.4324498,3839316899029.0,26,77
2018-04-17,8071.66015625,8285.9599609375,7881.72021484375,7902.08984375,6900879872.0,0.727804469135803,1245.8024691358,2342.9135802469136,2.2864583333333397,165395.385598,30918263.4755807,3839316899029.0,26,74
2018-04-18,7944.43017578125,8197.7998046875,7886.009765625,8163.419921875,6529909760.0,0.674461025,1254.625,2363.9375,2.2538194444444506,165513.633207,30536556.519092,3839316899029.0,26,76
2018-04-19,8159.27001953125,8298.6904296875,8138.77978515625,8294.3095703125,7063209984.0,0.625799629213483,1199.56741573034,2334.1853932584268,2.416493055555562,165620.384744,33971919.1274899,3839316899029.0,26,78
2018-04-20,8286.8798828125,8880.23046875,8244.5400390625,8845.830078125,8438110208.0,0.818439788321168,1516.6204379562,3171.715328467153,2.4993055555555626,165732.461665,26146926.5194725,3839316899029.0,26,82
2018-04-21,8848.7900390625,8997.5703125,8652.150390625,8895.580078125,7548550144.0,0.764312911949686,1219.96855345912,2276.0943396226417,2.1645833333333395,165845.313254,30345703.0408477,3839316899029.0,26,73
2018-04-22,8925.0595703125,9001.6396484375,8779.6103515625,8802.4599609375,6629899776.0,0.55884723125,1074.1875,2086.95625,1.8916666666666737,165966.544967,30536556.519092,3839316899029.0,26,70
2018-04-23,8794.3896484375,8958.5498046875,8788.8095703125,8930.8798828125,6925190144.0,0.762616058823529,1479.43137254902,2745.0653594771243,2.385937500000006,166055.769243,29200582.1713817,3839316899029.0,26,79
2018-04-24,8934.33984375,9732.6103515625,8927.830078125,9697.5,10678800384.0,0.967178522012579,1600.58490566038,2928.6100628930817,2.7673611111111174,166172.666117,30345703.0408477,3839316899029.0,26,91
2018-04-25,9701.0302734375,9745.3203125,8799.83984375,8845.740234375,11083100160.0,1.04303137398374,1732.9674796748,3265.9430894308944,2.6904513888888926,166326.486444,23474977.824052,3839316899029.0,26,85
2018-04-26,8867.3203125,9281.509765625,8727.08984375,9281.509765625,8970559488.0,0.884706510638298,1537.10638297872,2893.7304964539007,2.3809027777777816,166454.808243,26910340.4324498,3839316899029.0,26,75
2018-04-27,9290.6298828125,9375.4697265625,8987.0498046875,8987.0498046875,7566289920.0,0.955995035211267,1486.75352112676,3047.323943661972,2.338194444444448,166579.501606,28391145.8892854,3943557223451.08,26,70
2018-04-28,8939.26953125,9412.08984375,8931.990234375,9348.48046875,7805479936.0,0.844274703125,1591.2578125,3163.8203125,2.3479166666666704,166715.246536,25592018.8297784,4022059196164.0,26,63
2018-04-29,9346.41015625,9531.490234375,9193.7099609375,9419.080078125,8853000192.0,0.623489734177215,1144.29113924051,2301.46835443038,2.1637152777777815,166822.561778,31590148.2430077,4022059196164.0,26,64
2018-04-30,9426.1103515625,9477.1396484375,9166.8095703125,9240.5498046875,8673920000.0,0.748396935483871,1387.78709677419,2574.516129032258,2.1475694444444473,166921.216729,30990335.3016848,4022059196164.0,26,67
2018-05-01,9251.4697265625,9255.8798828125,8891.0498046875,9119.009765625,7713019904.0,0.673271550632912,1265.56329113924,2626.512658227848,2.4496527777777812,167037.514484,31590148.2430077,4022059196164.0,20,85
2018-05-02,9104.599609375,9256.51953125,9015.1396484375,9235.919921875,7558159872.0,0.877978135714286,1516.4,2794.4,2.2791666666666717,167143.624048,27991270.5950701,4022059196164.0,20,83
2018-05-03,9233.9697265625,9798.330078125,9188.150390625,9743.8603515625,10207299584.0,0.867924701986755,1513.38410596026,2789.6423841059604,2.414756944444449,167266.980876,30190584.7132542,4022059196164.0,20,91
2018-05-04,9695.5,9779.2001953125,9585.9599609375,9700.759765625,8217829888.0,0.973819028985508,1587.45652173913,3125.514492753623,2.635069444444448,167398.058041,27591395.3008549,4022059196164.0,20,88
2018-05-05,9700.2802734375,9964.5,9695.1201171875,9858.150390625,7651939840.0,0.726489360248447,1259.0248447205,2386.111801242236,2.4039930555555604,167532.585158,32189961.1843307,4022059196164.0,20,89
2018-05-06,9845.3095703125,9940.1396484375,9465.25,9654.7998046875,7222280192.0,0.758401058394161,1253.7299270073,2419.1532846715327,2.1487847222222274,167648.431591,27391457.6537472,4022059196164.0,20,83
2018-05-07,9645.669921875,9665.849609375,9231.5302734375,9373.009765625,7394019840.0,0.867701386666667,1367.08666666667,2506.4133333333334,2.2217013888888935,167753.367798,29990647.0661466,4022059196164.0,20,84
2018-05-08,9380.8701171875,9462.75,9127.76953125,9234.8203125,7415869952.0,0.915397129496403,1566.97841726619,2986.6187050359713,2.485763888888894,167882.584401,27791332.9479625,4022059196164.0,20,85
2018-05-09,9223.73046875,9374.759765625,9031.6201171875,9325.1796875,7226890240.0,0.7329255875,1291.11875,2387.3125,2.3102430555555595,168010.767442,31990023.537223,4022059196164.0,20,87
2018-05-10,9325.9599609375,9396.0400390625,9040.51953125,9043.9404296875,6906699776.0,0.733376694805195,1356.88961038961,2523.103896103896,2.3774305555555597,168127.36946,30790397.6545772,4022059196164.0,20,83
2018-05-11,9052.9599609375,9052.9599609375,8394.4599609375,8441.490234375,8488520192.0,1.07557120472441,1682.07874015748,3459.6377952755906,2.305208333333337,168241.002189,26161151.1691398,4138123233245.81,20,100
2018-05-12,8441.4404296875,8664.8603515625,8223.5,8504.8896484375,6821380096.0,0.644236684848484,1103.35757575758,2265.0666666666666,2.072743055555559,168377.675827,33988897.1882526,4143878474754.0,20,77
2018-05-13,8515.490234375,8773.5498046875,8395.1201171875,8723.9404296875,5866379776.0,0.576345047297297,1072.93243243243,2041.1081081081081,1.7741319444444494,168483.897268,30487010.8112811,4143878474754.0,20,73
